objid,ra,dec,u,g,r,i,z,class,redshift,pre_uv_mag,pre_uv_wave,pre_uv_source,pre_green_mag,pre_green_wave,pre_green_source,log_L_bolometric,intrinsic_color_index,rest_color_span_nm
1237654669735231608,149.142427582929,-0.372420381624902,19.76743,17.8756,16.90248,16.45606,16.12213,GALAXY,0.09193386,-18.399539139257303,325.1112663545391,u,-20.291369139257306,429.51319414163055,g,10.228891655702924,1.8918300000000023,104.40192778709144
1237651801233686770,149.117935930583,0.183975807079761,18.20582,16.46298,15.49704,14.9591,14.60985,GALAXY,0.06580772,-19.182568527056016,333.0807174112043,u,-20.92540852705601,440.0418491995911,g,10.508572210822406,1.742839999999994,106.96113178838681
1237651800696881217,149.156197858338,-0.315230860877946,19.78793,18.33921,17.48833,17.07277,16.74467,GALAXY,0.08532704,-18.203916514233537,327.0903487302777,u,-19.65263651423353,432.1278128295781,g,9.974105805693416,1.4487199999999945,105.0374640993004
1237654670272102476,149.128103838194,0.0836209458775903,20.33225,18.35458,17.40644,16.95075,16.59546,GALAXY,0.08811073,-17.73486945893121,326.25356060958984,u,-19.71253945893121,431.0223096504159,g,9.987689383572484,1.9776699999999998,104.76874904082604
1237651801233752148,149.153997354566,0.172473222554795,19.67747,18.19364,17.51096,17.09774,16.89891,GALAXY,0.07903931,-18.13554203134347,328.9963551003531,u,-19.61937203134347,434.645888850889,g,9.906907212537387,1.483830000000001,105.64953375053585
1237651799622811816,148.453342619878,-1.13326972213885,20.21217,18.5075,17.74256,17.39947,17.10883,GALAXY,0.0934706,-17.99385070317534,324.6543619919913,u,-19.69852070317534,428.9095655612505,g,9.936765881270135,1.7046700000000001,104.25520356925915
1237650794610426064,148.530782487672,-1.20539104151775,20.65723,18.49998,17.35856,16.87355,16.44346,GALAXY,0.1351453,-18.430642007099067,312.7352947679914,u,-20.587892007099065,413.1629668906703,g,10.380526402839628,2.1572499999999977,100.42767212267893
1237650794610426072,148.542437352053,-1.19457709498586,18.98131,16.71054,15.57147,15.10434,14.73785,GALAXY,0.1383956,-20.164377453876376,311.84238589818864,u,-22.43514745387637,411.9833210880295,g,11.10183418155055,2.2707699999999953,100.14093518984089
1237651799622877713,148.547608964039,-1.08812084198317,22.31915,20.93771,19.20139,18.54775,18.19291,GALAXY,0.37413,-20.776151773048703,341.3068632516574,g,-22.512471773048706,449.0113744696644,r,10.681631909219483,1.7363200000000028,107.70451121800704
1237650794610360503,148.410859855082,-1.23339741191404,20.42515,18.62438,17.46617,16.98105,16.6262,GALAXY,0.1631444,-20.92525902285821,403.2173477342968,g,-22.083469022858207,530.4586429681474,r,10.54201960914328,1.1582099999999969,127.24129523385056
1237648720143188098,148.432503364382,-1.02642035923546,18.45333,17.02572,16.25337,15.74728,15.45469,GALAXY,0.1102809,-20.144945849608632,319.73890571295965,u,-21.572555849608637,422.4156247306425,g,10.736559139843454,1.427610000000005,102.67671901768284
1237650794610426069,148.535600619875,-1.17865332691904,20.44453,18.63487,17.51471,17.04441,16.69853,GALAXY,0.1426428,-18.774881710267096,310.6832686470348,u,-20.584541710267096,410.4519802688994,g,10.392800684106838,1.809660000000001,99.76871162186455
1237648720143188043,148.526410573493,-0.971684465011256,18.49726,17.37068,16.97899,16.84624,16.80118,STAR,0.0004589118,-7.970992407147627,354.83716103972034,u,-9.097572407147627,468.7848690919122,g,5.599752962859051,1.1265800000000006,113.94770805219184
1237648720143188224,148.5090682336,-1.00351936725159,20.13283,18.51081,17.6551,17.19413,16.86082,GALAXY,0.09160395,-18.02567649483608,325.20952310588467,u,-19.64769649483608,429.6430037652392,g,9.96710739793443,1.6220199999999991,104.43348065935453
1237648720143187986,148.428863736398,-0.863283429925534,18.93689,19.07687,18.73114,18.69877,18.70723,QSO,1.301314,-26.84162990516678,325.0316992813671,i,-26.83316990516678,388.0391810939315,z,12.616087962066713,-0.008459999999999468,63.007481812564436
1237650795147296996,148.559253348494,-0.760206655180081,19.57957,18.15129,17.20229,16.75426,16.41478,GALAXY,0.1530428,-19.812331652105357,307.8810257520363,u,-21.240611652105358,406.7498621907184,g,10.64058546084214,1.4282800000000009,98.86883643868208
1237650795147231560,148.414399022146,-0.720751210625099,19.88779,19.73297,19.25949,19.25278,19.26127,QSO,1.385627,-26.493584390661933,374.3250726119381,z,-26.493584390661933,374.3250726119381,z,12.442397756264771,0.0,0.0
1237651799622811803,148.4399090562,-1.07022807728941,19.736,18.04652,17.12402,16.71679,16.44502,GALAXY,0.08978253,-18.37526840155557,325.75306561392574,u,-20.06474840155557,430.361092318116,g,10.131039360622228,1.6894799999999996,104.60802670419025
1237650795147296771,148.440580389963,-0.803513635148513,19.40764,17.38,16.43666,15.99801,15.66864,GALAXY,0.08706105,-18.631359175517066,326.5685952044736,u,-20.658999175517064,431.43851028422,g,10.356323670206828,2.027639999999998,104.86991507974642
1237648720143188148,148.508654837189,-0.892229022411282,18.51839,16.59866,15.65194,15.256,14.92037,GALAXY,0.09035492,-19.60781846363368,325.5820590968673,u,-21.52754846363368,430.1351710321993,g,10.706854585453474,1.9197299999999977,104.55311193533203
1237651799622811838,148.494924688725,-1.08090754548081,19.40336,18.00626,17.25695,16.76447,16.47479,GALAXY,0.1101958,-19.193073107928235,319.7634147057663,u,-20.590173107928237,422.4480042169138,g,10.338106843171293,1.3971000000000018,102.68458951114746
1237650795147296897,148.504456815978,-0.791651965971306,18.82881,17.82464,17.4402,17.12334,17.00879,GALAXY,0.0891128,-19.26486475707316,325.9533815046522,u,-20.26903475707316,430.6257350019208,g,10.111407502829264,1.004170000000002,104.6723534972686
1237650795147296891,148.500065613274,-0.74541974015549,20.48701,18.39242,17.35221,16.88667,16.503,GALAXY,0.1375618,-18.643964245690476,312.0709573756784,u,-20.738554245690477,412.2852929836427,g,10.41468489827619,2.09459,100.2143356079643
1237650795147296855,148.454023974555,-0.795927773894005,18.88648,17.77011,17.185,16.75783,16.58471,GALAXY,0.08940861,-19.214980729509293,325.8648745212322,u,-20.331350729509293,430.5088060576279,g,10.197853891803716,1.1163699999999999,104.64393153639571
1237648720680321254,149.069458381291,-0.554990015186292,19.83659,17.81128,16.81396,16.37988,16.0288,GALAXY,0.08851489,-18.241273538148533,326.13242433459044,u,-20.26658353814853,430.8622732758392,g,10.213504615259414,2.0253099999999975,104.72984894124875
1237651800696815824,149.069371310344,-0.234000391318522,20.43903,18.45961,17.52044,17.10772,16.79318,GALAXY,0.0887442,-17.644909163003103,326.0637347138106,u,-19.6243291630031,430.77152557965405,g,9.93997726520124,1.9794199999999975,104.70779086584344
1237651800696815831,149.090206729947,-0.251427074082198,17.74933,16.50113,15.89778,15.60806,15.32293,GALAXY,0.02139691,-17.107007995202935,347.56322104009496,u,-18.35520799520293,459.1750723036748,g,9.388196798081172,1.248199999999997,111.61185126357987
1237654669735166231,149.105306592207,-0.367428145985335,20.24663,18.22563,17.28766,16.86633,16.50354,GALAXY,0.0908874,-17.89339802413549,325.4231371633773,u,-19.91439802413549,429.9252150130252,g,10.057628009654197,2.021000000000001,104.50207784964789
1237648721217192172,149.048527676997,-0.0776536924191584,26.19676,19.76321,18.218,17.68095,17.51762,GALAXY,0.3784135,-21.982130694448067,340.24623235335406,g,-23.527340694448068,447.6160455480159,r,10.680013077779227,1.5452100000000009,107.36981319466184
1237648721217192199,149.062686383358,-0.0291918022548227,18.56549,17.29849,16.68588,16.31239,16.0597,GALAXY,0.06383968,-18.75295442913272,333.69689688581644,u,-20.01995442913272,440.8559003928111,g,10.065621771653088,1.2669999999999995,107.15900350699468
1237648721217257621,149.16987755671,-0.0233313956488212,19.39238,17.45203,16.29842,15.80721,15.45848,GALAXY,0.1391702,-19.76690433175885,311.63034285833675,u,-21.70725433175885,411.70318535369,g,10.84303213270354,1.9403499999999987,100.07284249535326
1237651801233752162,149.175359456192,0.19212510867601,20.24795,18.49268,17.5906,17.15585,16.87628,GALAXY,0.08846774,-17.828662471465226,326.14655166537136,u,-19.583932471465225,430.8809372705892,g,9.933576188586091,1.7552699999999994,104.73438560521782
1237654669735231591,149.135472935166,-0.346289461160055,20.44502,18.38054,17.40388,16.97338,16.63283,GALAXY,0.09080971,-17.69299641707964,325.44631455471733,u,-19.75747641707964,429.95583528496456,g,10.000354566831858,2.0644799999999996,104.50952073024723
1237648721217257601,149.154579472032,-0.115701998585716,20.21775,18.57749,17.59203,17.09925,16.76351,GALAXY,0.1668876,-21.02838546693025,401.9238870993231,g,-22.01384546693025,528.7570113865295,r,10.554347786772102,0.9854599999999998,126.83312428720637
1237654669735231661,149.171531959813,-0.412973664066079,20.07657,18.0579,17.12612,16.69116,16.35472,GALAXY,0.08546617,-17.91909267199907,327.04842381223176,u,-19.93776267199907,432.0724246984133,g,10.065747468799628,2.01867,105.02400088618151
